"n","m","rep_id","beta","SCP"
10000,20,2,16,0.0496
10000,20,2,17,0.0344
10000,20,2,18,0
10000,20,2,19,0
10000,20,2,20,0.0204
10000,20,3,1,0.9864
10000,20,3,2,0.9308
10000,20,3,3,0.9796
10000,20,3,4,0.0644
10000,20,3,5,0.0564
10000,20,3,6,0.066
10000,20,3,7,0
10000,20,3,8,0.0084
10000,20,3,9,0
10000,20,3,10,0.0988
10000,20,3,11,0
10000,20,3,12,0
10000,20,3,13,0.0024
10000,20,3,14,0.0416
10000,20,3,15,0.0244
10000,20,3,16,0
10000,20,3,17,0.1268
10000,20,3,18,0
10000,20,3,19,0.0104
10000,20,3,20,0.004
10000,20,4,1,0.986
10000,20,4,2,0.9444
10000,20,4,3,0.9768
10000,20,4,4,0.0464
10000,20,4,5,0.0156
10000,20,4,6,0.0316
10000,20,4,7,0.028
10000,20,4,8,0.0256
10000,20,4,9,0.0256
10000,20,4,10,0.0216
10000,20,4,11,0.016
10000,20,4,12,0.0072
10000,20,4,13,0.0616
10000,20,4,14,0.0144
10000,20,4,15,0
10000,20,4,16,0
10000,20,4,17,0
10000,20,4,18,0.0656
10000,20,4,19,0
10000,20,4,20,0.0028
10000,20,5,1,0.9844
10000,20,5,2,0.9336
10000,20,5,3,0.98
10000,20,5,4,0.0572
10000,20,5,5,0.006
10000,20,5,6,0.0392
10000,20,5,7,0.0028
10000,20,5,8,0.02
10000,20,5,9,0.0424
10000,20,5,10,0
10000,20,5,11,0.0084
10000,20,5,12,0.028
10000,20,5,13,0.0388
10000,20,5,14,0
10000,20,5,15,0.0332
10000,20,5,16,0
10000,20,5,17,0.0932
10000,20,5,18,0.0096
10000,20,5,19,0
10000,20,5,20,0.0612
10000,20,6,1,0.986
10000,20,6,2,0.9344
10000,20,6,3,0.9896
10000,20,6,4,0
10000,20,6,5,0
10000,20,6,6,0.0028
10000,20,6,7,0.0036
10000,20,6,8,0
10000,20,6,9,0
10000,20,6,10,0.0288
10000,20,6,11,0.0072
10000,20,6,12,0.0596
10000,20,6,13,0.0428
10000,20,6,14,0
10000,20,6,15,0
10000,20,6,16,0.0148
10000,20,6,17,0.0264
10000,20,6,18,0.0308
10000,20,6,19,0
10000,20,6,20,0.0016
10000,20,7,1,0.9852
10000,20,7,2,0.9388
