"n","m","rep_id","seed","Method","MSPE","Coverage","MSE_1","MSE_0"
5000,20,6,202,"GGP-GAM",0.114094861095435,NA,0.0217063973139714,0.00473546732812373
5000,20,6,202,"GSVC",0.124144376012726,0.949,0.0307136592851803,0.0291232734852135
5000,20,6,202,"MGWR",0.181932738190556,NA,0.230484406709621,0.00368100215898421
5000,20,7,303,"BSGL",0.120033487243971,0.964,0.0405994956065979,0.0159484063641848
5000,20,7,303,"GGP-GAM",0.114928504983021,NA,0.0257032593490393,0.00495911803338426
5000,20,7,303,"GSVC",0.128176132545644,0.948,0.0389104388029056,0.0324971577259249
5000,20,7,303,"MGWR",0.168890134417551,NA,0.22161452320278,0.00429966322456936
5000,20,8,404,"BSGL",0.111512317099477,0.976,0.0401174593102135,0.0146766954469364
5000,20,8,404,"GGP-GAM",0.104056809776794,NA,0.0277370954490017,0.00410379841603036
5000,20,8,404,"GSVC",0.116939863882202,0.959,0.0361660608786932,0.0293278826832595
5000,20,8,404,"MGWR",0.163213940163116,NA,0.237028616888131,0.0062399771854493
5000,20,9,505,"BSGL",0.10796697914541,0.98,0.0361353432313635,0.0164713731565855
5000,20,9,505,"GGP-GAM",0.107330255420186,NA,0.029668611580379,0.0051658776187476
5000,20,9,505,"GSVC",0.115656955787129,0.96,0.0343952476654938,0.0362225922215589
5000,20,9,505,"MGWR",0.171936250601559,NA,0.218690883551427,0.0073718022873794
5000,20,10,606,"BSGL",0.119974681694598,0.971,0.0395767377700777,0.0200871074806727
5000,20,10,606,"GGP-GAM",0.112945083817197,NA,0.031450127601554,0.00713412139984018
5000,20,10,606,"GSVC",0.131401685389458,0.943,0.0373283617090084,0.0422414594938257
5000,20,10,606,"MGWR",0.156912103899527,NA,0.202397989096672,0.0103702394267184
10000,5,1,42,"BSGL",0.101871633198896,0.962,0.017734929928667,0.00619083072640761
10000,5,1,42,"GGP-GAM",0.102381175208623,NA,0.0193524679906895,0.00187432896323628
10000,5,1,42,"GSVC",0.101818611582411,0.9525,0.0142325807997325,0.00953028074252139
10000,5,1,42,"MGWR",0.130011614029495,NA,0.126211509014436,0.00107814420377584
10000,5,2,123,"BSGL",0.105519079456627,0.9545,0.0195277424879163,0.008827329485474
10000,5,2,123,"GGP-GAM",0.106588632498545,NA,0.01886917525711,0.00385438966216149
10000,5,2,123,"GSVC",0.106069771734876,0.944,0.0170893601848298,0.0115480635925287
10000,5,2,123,"MGWR",0.13803352627035,NA,0.12798230756199,0.0043629166708766
10000,5,3,456,"BSGL",0.108974137373819,0.9615,0.0245227860168166,0.00909920307828976
10000,5,3,456,"GGP-GAM",0.111403453446785,NA,0.0206204147097451,0.000603788063306323
10000,5,3,456,"GSVC",0.109266551921947,0.9425,0.0214667932581198,0.0137731919782648
10000,5,3,456,"MGWR",0.142124863326452,NA,0.130461678223764,0.00643570506699383
10000,5,4,789,"BSGL",0.103893518810992,0.9635,0.0223077724181874,0.0104336313783198
10000,5,4,789,"GGP-GAM",0.105025788324124,NA,0.0260904411502336,0.00205216592296703
10000,5,4,789,"GSVC",0.103766661796206,0.9525,0.0222821345080208,0.0151530729021127
10000,5,4,789,"MGWR",0.129960370995693,NA,0.138995122613488,0.00550212337711827
10000,5,5,101,"BSGL",0.102297066178306,0.9655,0.0207183886821683,0.00841733532683398
10000,5,5,101,"GGP-GAM",0.106221312689554,NA,0.0183068101948704,0.00109296908703308
10000,5,5,101,"GSVC",0.102280989517878,0.95,0.0193002185423703,0.0135489876388125
10000,5,5,101,"MGWR",0.13103043892231,NA,0.133320127349804,0.000374402115849471
10000,5,6,202,"BSGL",0.104992208395506,0.962,0.0207262618581506,0.0119222403228808
10000,5,6,202,"GGP-GAM",0.105939583707444,NA,0.0168917650412156,0.00255857569069993
10000,5,6,202,"GSVC",0.105170630972275,0.9485,0.0168637234400828,0.0160572885477099
10000,5,6,202,"MGWR",0.127274453005958,NA,0.13316569516586,0.00332316550560723
10000,5,7,303,"BSGL",0.107602706530723,0.9625,0.0190318359678038,0.00979656930023642
10000,5,7,303,"GGP-GAM",0.106882489519448,NA,0.0193700085861969,0.00527510024354956
10000,5,7,303,"GSVC",0.107105833819412,0.951,0.015790814882788,0.0138702009606147
10000,5,7,303,"MGWR",0.131800054676102,NA,0.129318314548322,0.00104200814021899
10000,5,8,404,"BSGL",0.107982321165306,0.958,0.0273267242045538,0.00864108312603248
10000,5,8,404,"GGP-GAM",0.109508191407087,NA,0.0238569349717754,0.00236497449284397
10000,5,8,404,"GSVC",0.108131732955668,0.945,0.0239053657521291,0.0126738532675023
10000,5,8,404,"MGWR",0.133961623169102,NA,0.130848688724533,0.000429464115825627
10000,5,9,505,"BSGL",0.111747949524971,0.955,0.0212031097971283,0.0120009205247856
10000,5,9,505,"GGP-GAM",0.114697141690652,NA,0.0183663952319999,0.00313716653559487
10000,5,9,505,"GSVC",0.111596549902912,0.943,0.0163378434300155,0.0165234593671337
10000,5,9,505,"MGWR",0.148139121306413,NA,0.128603980884977,0.0027718217567493
10000,5,10,606,"BSGL",0.0999490284138706,0.9725,0.0187950704978913,0.0114784472959597
10000,5,10,606,"GGP-GAM",0.101102990510693,NA,0.0202507785165392,0.00193127121086782
10000,5,10,606,"GSVC",0.0995068525769812,0.963,0.0166991293615916,0.0156120816576561
10000,5,10,606,"MGWR",0.133115150952094,NA,0.126606850607543,0.00549527185228162
10000,10,1,42,"BSGL",0.108900673690639,0.952,0.0186738755301705,0.00987755440026804
10000,10,1,42,"GGP-GAM",0.112346513207901,NA,0.0162205347134398,0.00171147054413422
10000,10,1,42,"GSVC",0.110015319207997,0.934,0.0161465949425632,0.0149633754932587
10000,10,1,42,"MGWR",0.136287642532015,NA,0.123578490669705,0.00227850824025676
10000,10,2,123,"BSGL",0.100306848626712,0.9645,0.0196567759937263,0.0077794731494855
10000,10,2,123,"GGP-GAM",0.104044151904907,NA,0.0196676439207746,0.00129812317258309
10000,10,2,123,"GSVC",0.10207564601472,0.95,0.0178271162009452,0.0121572538449145
10000,10,2,123,"MGWR",0.13141428351072,NA,0.126944107807416,0.000700578562675672
10000,10,3,456,"BSGL",0.112894674607813,0.954,0.0190816972180135,0.0100427895795804
10000,10,3,456,"GGP-GAM",0.110318343292145,NA,0.0197786612100579,0.00179635212785495
10000,10,3,456,"GSVC",0.113245116239213,0.945,0.0171822840028679,0.0144954537827508
10000,10,3,456,"MGWR",0.136000617853074,NA,0.143815472312503,0.00247151514122825
10000,10,4,789,"BSGL",0.106307838337555,0.9605,0.023134384503108,0.00913730168608867
10000,10,4,789,"GGP-GAM",0.107141864352198,NA,0.0194476114851636,0.00176030375261092
10000,10,4,789,"GSVC",0.106718765676537,0.9455,0.0195820656378497,0.0143180263318419
10000,10,4,789,"MGWR",0.129461437772626,NA,0.135825542426992,0.00116043699470983
10000,10,5,101,"BSGL",0.112886914326857,0.9535,0.0218225762278784,0.00950337972950198
10000,10,5,101,"GGP-GAM",0.113620780655201,NA,0.0198715014783997,0.00321568270460771
10000,10,5,101,"GSVC",0.114084026688199,0.941,0.018605248861937,0.0161939603600597
10000,10,5,101,"MGWR",0.136789942630971,NA,0.133463386323133,0.00222904618436105
10000,10,6,202,"BSGL",0.106131483577426,0.96,0.0253180363926669,0.0103595018867615
10000,10,6,202,"GGP-GAM",0.106791056146132,NA,0.0210025116401279,0.00169355286544566
10000,10,6,202,"GSVC",0.10675122656084,0.9465,0.0223312884340206,0.015064993795627
10000,10,6,202,"MGWR",0.139337096046154,NA,0.145542734153388,0.00390563279449418
10000,10,7,303,"BSGL",0.107699851498981,0.954,0.0219771623726763,0.0088078421997297
10000,10,7,303,"GGP-GAM",0.108374165849204,NA,0.0213112059060052,0.00332497498438367
10000,10,7,303,"GSVC",0.107812501308363,0.943,0.0220852488519361,0.0135709828719458
10000,10,7,303,"MGWR",0.131704209452363,NA,0.145526506605192,0.00193097466531491
10000,10,8,404,"BSGL",0.106104011012892,0.9605,0.0185713657725639,0.00759181640863942
10000,10,8,404,"GGP-GAM",0.103311513250025,NA,0.0163222785291219,0.000820814597555051
10000,10,8,404,"GSVC",0.106450421338367,0.9495,0.0151704672854001,0.0118505861723027
10000,10,8,404,"MGWR",0.132693003207282,NA,0.12862782950377,0.00121512360070854
10000,10,9,505,"BSGL",0.110505282250602,0.957,0.0212637942124452,0.00962691191294239
10000,10,9,505,"GGP-GAM",0.107241013351146,NA,0.0185606412605205,0.0016561298305209
10000,10,9,505,"GSVC",0.111190814823197,0.939,0.0170635577114571,0.0153849534991454
10000,10,9,505,"MGWR",0.13317184966663,NA,0.1339637804168,0.00206291847144583
10000,10,10,606,"BSGL",0.10962075065547,0.954,0.0202226871383077,0.00970207917267084
10000,10,10,606,"GGP-GAM",0.10909992102589,NA,0.0174068766009921,0.00209508756343128
10000,10,10,606,"GSVC",0.110585147387801,0.942,0.0181932954260532,0.0160418362078002
